LK,LKNR,11.09.2021,12.09.2021,13.09.2021,14.09.2021,15.09.2021,16.09.2021,17.09.2021,18.09.2021,19.09.2021,20.09.2021,21.09.2021,22.09.2021,23.09.2021,24.09.2021,25.09.2021,26.09.2021,27.09.2021,28.09.2021,29.09.2021,30.09.2021,01.10.2021,02.10.2021,03.10.2021,04.10.2021,05.10.2021,06.10.2021,07.10.2021,08.10.2021,09.10.2021,10.10.2021,11.10.2021,12.10.2021,13.10.2021,14.10.2021,15.10.2021,16.10.2021,17.10.2021,18.10.2021,19.10.2021,20.10.2021,21.10.2021,22.10.2021,23.10.2021,24.10.2021,25.10.2021,26.10.2021,27.10.2021,28.10.2021,29.10.2021,30.10.2021,31.10.2021,01.11.2021,02.11.2021,03.11.2021,04.11.2021,05.11.2021,06.11.2021,07.11.2021,08.11.2021,09.11.2021,10.11.2021,11.11.2021,12.11.2021,13.11.2021,14.11.2021,15.11.2021,16.11.2021,17.11.2021,18.11.2021,19.11.2021,20.11.2021,21.11.2021,22.11.2021,23.11.2021,24.11.2021,25.11.2021,26.11.2021,27.11.2021,28.11.2021,29.11.2021,30.11.2021,01.12.2021,02.12.2021,03.12.2021,04.12.2021,05.12.2021,06.12.2021,07.12.2021,08.12.2021,09.12.2021,10.12.2021,11.12.2021,12.12.2021,13.12.2021,14.12.2021,15.12.2021,16.12.2021,17.12.2021,18.12.2021,19.12.2021,20.12.2021,21.12.2021,22.12.2021,23.12.2021,24.12.2021,25.12.2021,26.12.2021,27.12.2021,28.12.2021,29.12.2021,30.12.2021,31.12.2021,01.01.2022,02.01.2022,03.01.2022,04.01.2022,05.01.2022,06.01.2022,07.01.2022,08.01.2022,09.01.2022,10.01.2022,11.01.2022,12.01.2022,13.01.2022,14.01.2022,15.01.2022,16.01.2022,17.01.2022,18.01.2022,19.01.2022,20.01.2022,21.01.2022,22.01.2022,23.01.2022,24.01.2022,25.01.2022,26.01.2022,27.01.2022,28.01.2022,29.01.2022,30.01.2022,31.01.2022,01.02.2022,02.02.2022,03.02.2022,04.02.2022,05.02.2022,06.02.2022,07.02.2022,08.02.2022,09.02.2022,10.02.2022,11.02.2022,12.02.2022,13.02.2022,14.02.2022,15.02.2022,16.02.2022,17.02.2022,18.02.2022,19.02.2022,20.02.2022,21.02.2022,22.02.2022,23.02.2022,24.02.2022,25.02.2022,26.02.2022,27.02.2022,28.02.2022,01.03.2022,02.03.2022,03.03.2022,04.03.2022,05.03.2022,06.03.2022,07.03.2022,08.03.2022,09.03.2022,10.03.2022,11.03.2022,12.03.2022,13.03.2022,14.03.2022,15.03.2022,16.03.2022,17.03.2022,18.03.2022,19.03.2022,20.03.2022,21.03.2022,22.03.2022,23.03.2022,24.03.2022,25.03.2022,26.03.2022,27.03.2022,28.03.2022
LK Anhalt-Bitterfeld,15082,49.0,44.5,43.9,47.1,43.3,37.5,35.6,35.0,29.9,29.3,43.9,34.3,36.9,50.2,41.3,35.0,34.3,40.7,31.8,33.1,33.7,35.6,31.2,28.6,35.0,31.2,35.6,42.6,54.1,50.9,49.0,54.7,39.4,71.9,74.4,71.9,65.5,64.2,60.4,70.6,71.9,63.6,73.8,69.3,66.2,112.6,96.0,95.4,115.8,113.2,104.3,100.5,136.1,143.1,184.5,201.6,232.8,191.5,187.0,244.9,187.0,218.8,233.4,241.7,216.3,209.3,317.4,260.1,311.7,338.4,386.1,336.5,321.8,470.7,458.0,429.3,466.9,385.5,291.3,283.0,325.0,171.7,155.2,319.3,611.3,805.3,798.3,914.0,762.6,783.0,807.8,894.3,982.7,969.4,972.5,731.5,522.8,693.3,788.7,828.2,809.7,659.6,597.9,559.1,587.7,577.5,549.6,558.5,475.8,379.1,351.7,346.0,368.9,368.9,374.0,323.1,303.4,349.8,333.9,339.0,323.1,297.7,297.0,241.1,193.4,194.0,223.3,244.9,248.7,208.0,216.3,266.5,287.5,325.0,336.5,347.9,333.9,344.1,423.6,459.9,500.6,569.9,673.6,596.6,604.3,731.5,809.1,953.5,991.6,1017.7,1001.2,899.4,966.2,1115.7,1287.4,1377.7,1497.9,1346.5,1141.1,1116.9,1094.0,1090.8,1148.1,1227.6,1142.4,1006.9,1134.7,1342.1,1379.6,1480.1,1433.1,1354.2,1119.5,1227.0,1334.5,1436.2,1426.1,1511.3,1482.0,1321.7,1311.6,1368.8,1342.7,1420.3,1760.6,1736.5,1576.2,1585.1,1761.3,1919.6,1576.2,1718.6,1710.4,1536.7,1431.8,1291.2,1357.4,1339.5,1545.6
LK Ansbach,9571,63.7,57.2,52.9,69.6,49.1,54.5,55.6,54.5,43.2,37.2,41.6,55.6,43.2,54.5,58.8,58.3,71.2,50.7,49.6,64.2,57.2,78.2,69.1,62.6,98.8,100.9,92.8,100.4,96.1,78.2,71.2,115.5,105.2,129.0,119.3,127.9,90.1,123.0,127.9,131.1,152.7,159.7,126.8,105.8,102.5,166.2,165.1,179.7,176.5,167.3,150.0,122.5,111.2,177.0,152.7,240.7,239.1,213.1,182.9,322.7,341.6,445.7,387.4,420.9,453.8,447.9,516.4,524.5,597.4,596.8,640.5,651.9,695.0,687.5,685.3,672.9,702.0,707.4,655.1,624.3,669.1,638.9,641.1,595.7,583.3,550.4,495.4,597.4,552.0,499.1,502.4,477.6,441.4,388.5,415.0,392.3,366.9,353.5,321.1,311.9,320.0,310.3,292.5,261.7,242.3,219.6,216.9,208.3,201.8,167.8,202.4,197.5,207.8,187.2,190.5,203.4,219.6,202.4,197.5,203.4,222.9,245.5,262.8,247.7,256.3,309.2,316.8,257.9,302.2,349.1,385.3,397.7,433.3,457.6,465.7,518.0,545.6,614.6,726.9,830.5,953.0,935.2,941.1,1216.8,1317.7,1415.4,1482.3,1587.6,1618.3,1616.7,1493.1,1748.4,1832.0,1998.7,1998.7,1907.0,1828.8,1997.7,1840.6,1836.3,1803.4,1813.7,1821.2,1832.5,1817.4,1861.1,1781.3,1826.6,1834.7,1854.1,1964.2,1998.2,1957.2,2161.7,2165.0,2147.1,1996.0,1843.9,1813.1,1821.2,1692.8,1624.8,1584.9,1630.7,1649.6,1728.9,1913.5,2066.7,2134.2,2212.4,2195.2,2209.7,2271.3,2237.3,2156.3,2188.7,2182.2,2153.6,2121.8
LK Aschaffenburg,9671,81.3,75.0,74.4,81.9,73.9,90.5,85.3,80.2,83.0,81.9,76.1,71.6,52.1,46.9,45.2,45.8,48.1,48.7,51.5,57.8,60.7,61.8,63.6,64.7,63.6,60.1,59.0,58.4,55.0,53.8,56.1,55.0,59.0,55.0,59.5,64.7,70.4,65.3,65.8,80.7,85.9,82.4,87.0,94.5,97.9,99.6,96.8,100.8,100.8,104.8,104.2,113.9,111.6,103.6,110.5,137.4,155.7,164.9,176.3,177.5,204.4,231.9,239.3,259.4,262.2,275.4,290.3,323.5,359.6,363.6,369.9,380.7,387.0,403.1,393.3,366.4,389.9,411.7,405.4,385.3,381.3,352.1,358.4,356.7,353.3,370.4,360.7,352.7,355.6,328.6,313.2,287.4,274.8,274.8,274.3,253.6,269.7,253.1,240.5,231.9,233.0,234.2,223.3,210.1,211.3,210.1,195.8,187.8,180.4,164.3,170.0,156.3,152.9,158.0,166.6,178.6,196.4,180.9,184.9,215.9,205.5,241.6,262.8,260.5,285.7,364.1,375.0,413.4,399.6,421.4,450.0,458.0,430.6,409.9,383.0,369.3,340.1,459.8,731.7,1095.3,1295.7,1510.4,1586.5,1597.4,1492.6,1442.8,1434.8,1382.1,1345.5,1431.9,1573.4,1611.7,1634.1,1705.6,1815.0,1766.9,1820.7,1752.0,1726.8,1738.8,1631.8,1663.8,1729.1,1662.1,1584.2,1603.7,1616.9,1563.6,1448.5,1390.7,1352.9,1394.7,1288.2,1206.4,1142.2,1157.1,1280.8,1294.0,1269.3,1258.5,1315.1,1357.5,1470.3,1373.5,1418.8,1545.3,1539.0,1534.4,1589.4,1804.1,1890.6,1898.0,1985.6,2245.5,2451.1,2543.3,2484.3,2493.4,2431.0
LK Augsburg,9772,100.4,96.1,100.8,95.3,88.3,93.0,86.4,80.9,77.0,67.2,82.1,78.2,69.9,78.2,82.5,88.7,80.9,68.4,89.1,88.7,78.9,84.4,80.1,84.0,79.7,77.4,81.3,80.5,76.6,77.0,76.2,77.0,72.3,68.4,75.4,75.4,84.0,89.9,85.2,111.8,131.7,137.9,149.7,171.2,188.4,194.6,200.5,224.3,242.7,265.7,269.6,292.3,290.3,261.8,295.8,326.7,364.6,374.8,374.4,388.0,472.8,527.2,529.5,521.7,506.8,547.1,604.5,630.3,652.6,648.3,638.1,726.5,739.4,695.2,662.8,663.5,683.1,653.8,654.6,595.5,578.4,497.1,519.3,501.4,490.4,479.5,476.7,470.5,492.4,413.4,385.3,368.1,344.7,321.6,325.1,293.5,294.3,290.0,275.9,286.8,284.9,288.0,271.2,254.4,250.1,241.1,209.8,207.1,204.4,186.8,184.1,171.2,172.3,161.0,181.3,177.8,194.2,216.9,220.8,231.3,254.4,269.2,249.7,229.4,402.5,465.4,481.0,489.3,496.7,566.6,651.8,638.1,701.1,774.1,880.8,993.4,981.6,1111.8,1221.6,1393.5,1515.8,1619.0,1623.7,1712.8,1804.6,1957.4,2006.6,2061.0,1810.5,1976.2,2127.4,2127.0,1735.1,1775.3,2234.1,2220.8,2365.8,2217.3,2137.2,2121.1,2100.8,1998.4,1996.1,1787.0,1964.4,1928.5,1858.1,1778.8,1802.7,1802.3,1800.3,1728.0,1717.9,1612.7,1570.1,1563.1,1543.6,1543.6,1520.5,1542.4,1681.5,1727.6,1794.5,1913.2,1912.9,1951.5,2039.1,1943.7,2096.1,2134.0,2052.8,2053.1,2205.2,2266.1,2341.5,2281.8,2211.8,2311.8,2310.7
LK Aurich,3452,34.2,38.4,38.9,34.7,35.8,29.4,23.7,27.3,27.3,26.3,20.0,18.9,22.1,25.2,22.1,27.3,26.3,22.6,27.3,28.9,32.1,28.4,29.4,30.0,25.2,17.4,18.4,18.9,18.9,23.1,23.1,20.0,16.3,18.9,19.5,14.7,16.8,17.9,15.8,15.2,15.2,21.0,18.4,28.9,28.9,25.8,32.6,28.9,28.4,26.8,33.1,33.7,24.7,33.1,40.0,46.3,41.5,44.7,45.2,35.2,40.0,31.0,35.2,46.8,56.8,58.4,50.5,66.8,87.8,95.7,104.6,96.8,133.0,129.9,142.5,157.7,155.6,164.1,171.4,189.8,179.8,166.2,159.9,188.2,179.8,168.8,176.2,166.2,139.9,130.9,123.6,125.1,108.8,107.8,117.3,127.2,120.4,117.3,105.2,109.9,110.9,106.7,96.8,73.1,105.2,83.6,75.7,97.8,88.9,98.3,84.1,85.7,79.9,79.4,100.4,94.1,95.2,119.4,132.5,155.1,178.8,192.5,188.8,168.8,180.4,187.2,208.8,222.9,239.2,238.2,235.0,293.9,351.2,399.6,426.4,445.9,520.0,497.4,550.0,542.1,582.1,527.4,519.5,621.5,664.1,690.9,727.2,853.4,791.4,830.3,961.2,799.3,878.1,953.8,1073.7,1036.4,1092.7,1048.5,948.1,1020.1,960.7,1030.1,981.2,1031.7,1002.2,992.2,1020.6,1056.4,1100.0,1146.3,1163.6,1114.2,949.1,968.0,1052.7,1067.9,1044.3,1099.0,1159.4,1147.3,1038.5,1044.8,1613.8,1418.7,1381.9,1331.9,1583.3,1460.2,2134.8,2079.6,1773.1,1767.3,2352.0,2358.8,2241.1,2181.6,2190.6,1851.9,1679.5
LK Bad Duerkheim,7332,75.9,64.7,69.2,67.7,67.7,60.1,63.9,63.9,63.9,68.4,69.2,57.9,55.6,59.4,63.2,55.6,55.6,57.9,53.4,37.6,41.4,47.4,45.9,46.6,42.1,44.4,38.3,42.9,39.8,39.8,45.1,41.4,41.4,38.3,31.6,31.6,27.1,27.1,28.6,33.1,43.6,51.1,57.9,58.6,61.7,58.6,61.7,60.1,60.9,70.7,67.7,82.0,79.7,80.4,111.3,135.3,173.7,167.7,186.5,199.2,212.0,207.5,209.0,203.0,186.5,195.5,194.7,199.2,200.7,234.6,261.6,248.1,248.1,275.9,281.2,285.7,259.4,289.5,309.8,372.2,334.6,334.6,351.9,321.8,379.7,342.8,369.2,367.7,348.1,355.6,318.0,292.5,281.2,315.8,276.7,294.0,248.1,192.5,238.3,206.0,216.5,210.5,188.0,200.0,179.7,174.4,149.6,149.6,148.1,137.6,142.9,120.3,124.1,121.0,121.0,107.5,148.9,175.2,203.8,203.8,274.4,296.2,288.0,257.9,242.8,264.7,277.4,283.5,306.0,303.8,282.7,321.0,327.8,402.2,388.7,452.6,493.2,548.9,608.3,559.4,653.4,637.6,678.2,612.0,627.0,603.7,622.5,654.1,642.1,691.0,763.1,850.4,868.4,890.2,838.3,760.1,759.4,648.1,719.5,878.9,1075.2,1588.7,1653.3,1679.6,1772.9,1775.1,1493.9,1331.5,941.3,1033.1,1209.7,891.7,1012.0,1021.8,1065.4,1249.6,1031.5,1031.5,1195.5,1308.2,1422.5,1377.4,1347.3,1347.3,1347.3,1012.8,1166.1,1270.6,1330.8,1551.1,1551.1,1551.1,1792.4,1799.9,1894.7,1881.9,1915.7,1915.7,1915.7
LK Bad Kissingen,9672,33.0,23.3,21.3,24.2,20.4,22.3,31.0,32.0,39.7,45.6,54.3,56.2,63.0,53.3,54.3,58.2,58.2,55.2,50.4,64.9,52.3,50.4,55.2,55.2,55.2,53.3,45.6,41.7,55.2,46.5,62.0,70.8,85.3,81.4,82.4,84.3,82.4,70.8,69.8,56.2,56.2,72.7,82.4,91.1,96.9,93.1,102.7,117.3,136.7,165.7,180.3,208.4,205.5,195.8,201.6,218.1,237.5,249.1,296.6,345.1,380.9,387.7,385.8,420.7,447.8,492.4,505.0,465.3,400.3,369.3,407.1,325.7,429.4,445.9,399.3,412.9,424.5,451.7,404.2,426.5,454.6,432.3,398.4,461.4,437.1,400.3,428.4,462.3,400.3,411.0,408.1,456.5,415.8,449.7,444.9,453.6,407.1,406.1,385.8,358.6,355.7,359.6,312.1,285.9,273.3,240.4,216.2,207.4,189.0,153.1,189.0,196.8,200.6,178.3,214.2,212.3,207.4,187.1,223.9,220.0,233.6,230.7,238.4,271.4,365.4,401.3,430.4,461.4,508.9,500.2,394.5,427.5,540.9,582.5,629.1,712.4,812.3,870.4,984.8,1076.9,1131.2,1076.9,1172.8,1236.8,1256.2,1115.6,1129.2,1432.6,1417.1,1355.1,1493.7,1423.9,1453.0,1212.6,1296.9,1080.8,1043.9,1216.5,1158.3,1070.1,1107.9,1137.0,1103.0,1078.8,1337.6,1374.4,1400.6,1406.4,1382.2,1379.3,1373.5,1539.2,1418.1,1423.9,1369.6,1529.5,1395.8,1300.8,1492.7,1414.2,1463.6,1519.8,1494.6,1369.6,1254.3,1456.8,1082.7,1150.5,1116.6,1060.4,1005.1,1005.1,1046.8,872.4,721.1,783.2,1187.4,1075.9,1075.9
LK Bad Kreuznach,7133,126.6,106.5,111.5,109.6,114.6,99.5,81.3,81.9,85.7,79.4,77.5,75.6,73.1,69.3,73.1,73.1,68.7,68.0,73.1,64.9,64.9,59.8,58.0,59.8,59.2,49.8,55.4,57.3,52.9,51.7,47.2,47.9,41.6,36.5,32.1,30.9,27.7,27.1,32.1,34.6,39.1,40.3,46.0,52.9,52.9,53.5,76.2,81.3,80.6,80.0,81.9,81.9,86.3,71.2,76.2,88.8,101.4,101.4,101.4,129.8,140.5,136.7,144.9,141.1,143.0,143.0,127.9,156.2,169.5,175.8,180.2,187.1,208.5,239.4,212.9,245.0,251.3,267.1,272.8,270.2,238.7,233.1,224.9,237.5,240.6,241.9,238.1,230.6,248.8,241.9,215.4,206.6,201.6,208.5,196.5,185.2,168.2,160.0,163.2,171.3,167.6,159.4,131.0,172.0,132.3,121.6,102.7,136.7,138.6,115.9,114.6,140.5,154.3,154.3,168.8,178.3,246.3,287.3,313.7,323.2,376.7,374.2,375.4,364.7,410.1,462.4,517.2,532.9,567.6,620.5,680.3,744.0,852.3,936.1,955.0,1049.5,1052.6,1152.8,1252.3,1239.7,1276.3,1379.6,1327.9,1432.5,1434.4,1366.3,1356.3,1389.6,1450.1,1469.6,1404.8,1355.0,1464.6,1445.1,1326.6,1269.3,1218.3,1259.9,1265.5,1164.8,1108.7,1113.7,1058.9,1090.4,1096.1,1043.8,929.8,943.6,926.0,921.0,861.8,772.9,1014.8,1011.7,1202.5,1315.9,1414.8,1414.8,1614.5,1734.2,1869.0,1903.0,1898.0,1899.3,1899.3,1722.2,1792.2,2124.1,2137.4,2114.1,1935.8,1935.2,2279.7,2190.9,1939.6,2131.1,2160.7,2184.0,2183.4
LK Bad Toelz-Wolfratshausen,9173,100.6,89.7,101.4,87.4,71.0,106.1,120.1,120.9,108.4,118.6,95.9,87.4,76.4,81.1,71.8,95.9,97.5,85.8,88.1,87.4,85.0,119.3,128.7,122.5,111.5,103.7,103.0,102.2,134.9,143.5,159.1,147.4,144.3,182.5,197.3,234.0,229.3,214.5,263.6,280.8,298.7,269.9,280.0,279.2,280.8,283.1,236.3,251.9,212.1,175.5,212.9,202.8,198.1,199.7,136.5,131.0,555.3,537.4,630.2,645.8,791.7,742.5,762.8,810.4,792.4,882.9,817.4,737.1,716.0,727.7,649.7,593.5,715.2,725.4,640.3,617.7,656.7,608.4,609.1,612.3,627.9,546.8,503.1,485.1,481.2,472.7,527.3,463.3,433.7,422.7,398.6,380.6,376.7,376.7,319.8,292.5,272.2,283.9,281.6,294.8,288.6,248.8,244.9,231.6,226.2,207.5,212.1,214.5,169.3,166.1,173.9,160.7,173.2,186.4,178.6,166.9,173.2,201.2,212.1,214.5,212.9,294.8,276.1,393.9,453.9,528.8,644.2,648.9,828.3,754.2,822.9,1015.5,1097.4,1290.1,1325.9,1431.2,1332.2,1280.7,1491.3,1548.2,1633.2,1587.2,1850.8,1729.9,1601.3,1782.2,2038.0,2073.9,2036.5,2122.3,2214.3,2063.0,2094.2,1969.4,1959.3,1797.0,2112.1,1985.8,1855.5,1779.1,1726.0,1699.5,1513.1,1793.1,1658.2,1574.7,1614.5,1642.6,1630.9,1750.2,1793.9,1723.7,1479.6,1494.4,1549.0,1387.5,1446.0,1613.7,1478.0,1649.6,1677.7,1748.7,1726.8,1902.3,1911.7,1738.5,1460.9,1620.8,1583.3,1698.0,1719.0,1784.5,1792.3,1579.4,1486.6,1436.7,1485.0,1518.6,1655.9
LK Bamberg,9471,46.8,45.4,47.5,42.7,39.3,45.4,52.9,54.2,57.6,61.7,58.3,61.0,59.7,57.6,53.6,56.3,52.9,55.6,50.2,50.8,54.9,56.3,59.7,57.0,56.3,48.8,42.7,35.3,35.3,30.5,31.9,31.2,35.3,35.9,38.6,39.3,41.4,40.7,39.3,38.6,46.1,57.6,67.8,78.0,91.5,90.2,113.9,98.3,151.2,171.5,164.1,176.3,192.5,147.8,147.1,162.7,280.0,265.1,285.4,320.7,365.4,381.7,381.7,447.5,503.1,602.0,555.9,591.9,658.3,774.3,846.1,866.5,822.4,823.7,885.4,863.7,886.1,812.9,817.6,803.4,810.9,831.9,817.0,762.0,835.9,855.6,854.3,843.4,779.7,775.6,781.7,711.9,711.2,701.0,679.3,690.2,663.7,570.9,524.8,425.8,423.1,418.3,377.6,319.3,292.2,260.3,220.3,233.9,234.6,221.0,208.8,191.9,184.4,182.4,195.3,205.4,217.6,234.6,245.4,244.1,250.2,267.1,251.5,284.1,330.9,370.9,421.0,389.8,400.0,436.6,471.9,562.0,657.0,728.2,810.9,852.2,808.8,732.2,771.5,816.3,835.9,1209.5,1290.2,1345.8,1619.7,1669.2,1758.7,1706.5,1688.2,1604.8,1652.9,1549.2,1754.6,1798.0,2109.9,1922.8,1935.6,1916.6,2078.0,1988.5,2047.5,1848.2,1805.5,1907.2,1884.8,1910.5,1873.3,1709.2,1819.7,1894.3,1823.8,1817.7,1593.3,1549.2,1708.5,1852.2,1759.4,1822.4,1869.9,2009.5,2158.0,2263.8,2450.9,2598.0,2602.1,2490.9,2332.9,3204.1,3210.9,3214.3,3041.4,3127.5,3255.7,3155.3,2675.3,3146.5,3107.2,3330.2,3292.9
LK Barnim,12060,35.2,32.6,29.9,35.8,44.8,45.4,50.7,50.2,44.8,43.8,51.8,45.9,45.9,43.2,42.7,37.9,34.2,45.4,42.7,42.2,43.8,42.2,32.6,31.0,40.0,44.3,46.4,45.9,46.4,40.6,36.3,43.8,42.2,39.0,42.2,45.4,40.6,40.0,51.8,56.0,81.7,91.8,93.4,80.6,79.0,105.7,100.4,111.0,113.2,121.7,105.7,102.0,128.1,134.0,132.9,163.9,175.6,151.6,143.1,190.6,218.3,225.8,241.3,268.0,232.7,222.1,293.6,281.3,313.9,328.3,344.8,365.1,399.3,381.1,381.1,378.5,361.4,340.6,342.7,319.7,358.2,397.7,408.9,470.3,525.8,519.9,539.7,545.0,564.7,597.8,651.7,678.4,669.9,650.1,686.4,646.9,579.2,526.3,491.1,522.0,557.8,455.3,447.3,451.6,426.5,352.8,318.1,289.3,293.6,308.5,304.3,344.3,353.9,352.8,356.6,402.5,472.4,507.1,474.0,535.9,562.6,580.2,554.1,502.3,517.2,555.1,563.7,566.3,559.4,654.4,728.6,788.4,904.8,998.2,986.4,995.0,977.4,949.6,972.0,933.6,916.5,906.9,917.0,1043.0,1142.8,1400.6,1629.1,1798.8,1862.4,1895.5,2037.4,2167.7,2339.6,2613.4,2773.0,2844.0,2892.0,2876.0,2929.4,2687.6,2608.1,2825.8,2730.8,2661.4,2297.9,1953.1,1551.7,1151.4,894.6,851.9,797.5,724.9,674.2,617.1,625.1,629.3,628.8,627.7,619.7,698.7,727.0,767.0,830.0,821.5,814.0,864.2,864.7,859.4,888.7,1042.5,1041.9,1041.9,1133.7,1166.3,1163.1,1299.2,1183.9,1182.9,1182.9
LK Bautzen,14625,19.8,25.2,26.8,26.5,27.5,32.2,32.5,34.2,32.2,45.0,37.2,40.9,46.6,48.7,43.0,53.4,60.1,54.4,55.4,70.1,80.9,81.9,98.3,103.7,94.0,108.1,102.7,102.0,105.4,105.7,115.4,97.3,105.0,107.0,125.8,124.2,138.9,157.4,115.8,130.2,93.6,139.9,200.0,240.9,259.7,220.1,234.9,278.8,280.9,278.8,326.2,341.6,278.5,305.4,429.9,487.2,546.3,535.6,662.4,645.3,648.0,769.1,823.5,925.5,959.0,1197.3,1053.0,956.7,1027.5,804.0,1071.8,1336.2,1474.4,1419.1,1227.5,1027.5,1683.8,1617.7,1602.3,1732.8,1791.2,1492.9,1514.0,1476.1,1454.3,1399.6,1376.8,1187.9,1126.8,1225.5,1139.6,1109.7,1021.4,1172.1,1050.3,851.3,937.2,896.3,800.3,804.0,838.9,717.8,510.7,422.8,302.3,178.2,134.2,127.5,392.3,346.6,315.4,318.4,330.9,355.7,351.3,263.4,269.1,310.7,283.2,300.3,311.1,313.1,222.8,198.7,199.3,184.6,179.2,203.0,209.4,169.1,182.5,224.5,241.6,262.1,302.0,304.7,235.9,321.5,387.9,428.5,453.7,535.9,533.9,469.8,440.9,560.0,693.3,688.6,761.0,830.2,724.1,1005.0,1069.4,1156.3,1212.4,1258.3,1389.6,1235.2,1039.6,1238.2,1261.4,1310.4,1283.5,1413.0,1237.2,1129.5,1187.2,1311.4,1164.4,1249.6,1309.7,1215.4,1377.1,1240.2,1347.3,1413.4,1463.0,1582.8,1296.6,1161.4,1296.6,1435.5,1664.0,1744.9,1796.9,1627.5,1310.7,1434.5,1677.8,1848.3,2009.7,2082.8,1932.5,1785.5,1957.7,1876.1,1889.5,1893.9,1926.4
LK Bayreuth,9472,20.3,19.3,23.1,17.4,28.0,24.1,28.9,29.9,31.8,32.8,29.9,24.1,23.1,19.3,18.3,18.3,18.3,16.4,19.3,31.8,36.7,40.5,42.4,50.2,50.2,61.7,61.7,71.4,69.4,77.2,77.2,69.4,67.5,71.4,62.7,69.4,65.6,64.6,64.6,71.4,69.4,76.2,69.4,71.4,85.8,81.0,83.9,99.3,103.2,99.3,97.4,110.9,109.0,82.0,104.2,157.2,176.5,187.1,216.1,221.8,269.1,356.9,349.2,369.4,335.7,329.9,418.6,390.6,427.3,462.0,448.5,461.0,476.5,450.4,468.8,467.8,380.0,438.9,469.7,464.9,477.4,397.4,412.8,382.9,341.4,325.0,329.9,325.0,300.9,295.1,296.1,295.1,260.4,276.8,260.4,240.2,212.2,178.4,189.0,169.8,183.3,167.8,122.5,166.9,164.9,166.9,147.6,147.6,131.2,164.0,151.4,175.5,172.6,166.9,185.2,183.3,178.4,193.9,192.9,192.9,222.8,242.1,220.9,275.9,281.6,308.6,326.0,348.2,356.9,326.0,421.5,458.1,504.4,566.2,675.2,707.0,660.7,775.5,883.5,970.3,1000.2,1156.5,1147.8,1078.3,1179.6,1341.6,1486.3,1484.4,1598.2,1610.7,1596.3,1461.2,1620.4,1694.7,1749.6,1841.3,1837.4,1660.9,1735.2,1730.3,1705.3,1598.2,1616.5,1673.4,1514.3,1392.8,1507.5,1511.4,1441.0,1519.1,1500.8,1442.0,1433.3,1249.0,1253.9,1209.5,1278.0,1369.6,1192.1,1488.2,1679.2,1858.6,2054.4,2232.9,2319.7,2165.3,2079.5,2258.9,2318.7,2521.2,2549.2,2514.5,2577.2,2533.8,2585.9,2488.4,2348.6,2068.9,2372.7
LK Berchtesgadener Land,9172,185.3,205.0,211.6,229.5,217.3,221.0,217.3,193.7,188.1,198.4,173.1,167.4,152.4,158.9,156.1,155.2,175.9,177.8,172.1,204.1,210.7,219.1,234.2,234.2,235.1,239.8,232.3,244.5,233.2,248.3,248.3,262.4,264.3,279.3,312.2,317.9,336.7,353.6,343.3,355.5,416.6,428.9,462.7,468.4,480.6,469.3,489.1,459.9,475.9,462.7,492.8,543.6,544.5,416.6,451.4,552.1,578.4,639.5,684.7,689.4,822.9,914.2,954.6,985.6,923.6,930.1,1095.7,1043.9,1078.7,1120.1,1089.1,1152.1,1150.2,1141.8,1080.6,1089.1,1028.9,936.7,988.5,988.5,1020.4,882.2,858.7,903.8,775.0,819.2,760.9,788.1,619.8,627.3,534.2,566.2,483.4,515.4,509.7,474.0,449.6,474.0,405.4,352.7,333.9,330.1,253.0,247.4,222.0,225.7,224.8,207.8,200.3,175.9,173.1,167.4,135.4,120.4,129.8,140.1,141.1,136.4,145.8,119.4,114.7,111.9,189.0,214.4,272.7,306.6,374.3,397.8,429.8,474.9,432.6,538.0,615.1,619.8,712.9,982.8,1024.2,1039.2,1187.8,1296.9,1454.9,1408.9,1359.0,1668.4,1694.8,1786.0,1854.7,1809.5,1709.8,1721.1,1936.5,1864.1,1911.1,1987.3,2038.1,1868.8,1825.5,2141.5,2000.4,2052.2,2085.1,2144.3,2144.3,2259.1,2217.7,2208.3,2158.4,1948.7,1788.8,1637.4,1526.4,1778.5,1660.9,1450.2,1644.0,1827.4,1755.0,1904.5,1960.0,1897.0,2045.6,2028.6,1990.1,1992.9,2028.6,2227.1,1908.3,2005.1,2033.3,2036.2,1994.8,1999.5,1964.7,1887.6,2110.5,1974.1,1835.8,1897.0,1950.6
